64,4,1,16,RLCCA,1.218929,2.279961,1.218929,4.717819
64,4,1,8,RLCCA,0.964557,1.432392,0.964557,3.361505
64,4,1,4,RLCCA,0.618674,0.676509,0.618674,1.913857
64,4,1,2,RLCCA,0.453002,0.216852,0.453002,1.122855
64,4,1,1,RLCCA,0.282107,0.157326,0.282107,0.721539
64,4,2,16,RLCCA,1.149207,2.279961,1.149207,4.578376
64,4,2,8,RLCCA,0.929846,1.068386,0.929846,2.928078
64,4,2,4,RLCCA,0.614655,0.857593,0.614655,2.086904
64,4,2,2,RLCCA,0.470172,0.936144,0.470172,1.876488
64,4,2,1,RLCCA,0.273509,0.278405,0.273509,0.825423
64,4,4,16,RLCCA,1.216412,2.279961,1.216412,4.712786
64,4,4,8,RLCCA,0.859052,2.001432,0.859052,3.719536
64,4,4,4,RLCCA,0.564595,1.245920,0.564595,2.375111
64,4,4,2,RLCCA,0.413635,1.282411,0.413635,2.109682
64,4,4,1,RLCCA,0.261116,0.483159,0.261116,1.005392
64,4,8,16,RLCCA,1.090457,2.279961,1.090457,4.460876
64,4,8,8,RLCCA,0.867593,2.304495,0.867593,4.039680
64,4,8,4,RLCCA,0.564686,3.072770,0.564686,4.202143
64,4,5,16,RLCCA,1.165776,2.279961,1.165776,4.611514
64,4,5,8,RLCCA,0.881194,1.034408,0.881194,2.796795
64,4,5,4,RLCCA,0.576798,1.734367,0.576798,2.887963
64,4,5,2,RLCCA,0.437825,1.505491,0.437825,2.381142
64,4,5,1,RLCCA,0.261176,0.576778,0.261176,1.099131
64,4,10,16,RLCCA,1.139899,2.279961,1.139899,4.559759
64,4,10,8,RLCCA,0.880847,2.364719,0.880847,4.126413
64,4,10,4,RLCCA,0.561760,3.238152,0.561760,4.361672
64,4,10,2,RLCCA,0.409689,1.697581,0.409689,2.516959
64,4,10,1,RLCCA,0.256625,0.934413,0.256625,1.447663
64,4,15,16,RLCCA,1.148353,2.279961,1.148353,4.576668
64,4,15,8,RLCCA,0.911708,2.385787,0.911708,4.209203
64,4,15,4,RLCCA,0.570543,3.704564,0.570543,4.845650
64,4,15,2,RLCCA,0.440991,1.358770,0.440991,2.240753
64,4,15,1,RLCCA,0.266078,1.023986,0.266078,1.556142
64,4,20,16,RLCCA,1.183240,2.279961,1.183240,4.646441
64,4,20,8,RLCCA,0.930234,2.790474,0.930234,4.650942
64,4,20,4,RLCCA,0.589459,3.239966,0.589459,4.418883
64,4,20,2,RLCCA,0.452585,1.548252,0.452585,2.453422
64,4,20,1,RLCCA,0.271645,1.055095,0.271645,1.598385
